Emotion,Sentence
Happy,প্রস্তুতি ম্যাচে হারাটা বাংলাদেশের জন্য ভাল হয়েছে। আমি নিশ্চিত আত্মবিশ্বাস নিয়ে মূল পর্বে ভাল করবে।
Sad,"ছেলেগুলা খেলতে গেছে, দয়া করে এদের খেলতে দেন"
Disgust,"ভারতীয় পেসারেরা পিচের সুবিধা নিতে পেরেছে, বাংলাদেশি পেসারেরা জঘন্য বোলিং করেছে।"
Fearful,দেখি আসল খেলায় কি হয়।
Sad,"ভারত শক্তিশালী দল, তাই বলে বাংলাদেশের টাইগাররা এভাবে মাটিতে লুটে পড়বে তা সত্যিই দুঃখজনক।"
Fearful,"মোরার আঘাত ইংল‌্যান্ডে গিয়ে বাংলাদেশ প্রস্ততি ম‌্যাচে লাগলো, ঘূর্ণিঝড়ের মত বিধ্বস্ত হল ব‌্যাটিং লাইন, এটা সর্তক সংকেত, আসল ম‌্যাচের জন‌্য শুভ কামনা রইল"
Fearful,মাননীয় প্রধানমন্ত্রী এদেশে ঘটে যাওয়া অন্যান্য হত্যাকান্ডের বিচারের কি হবে?
Angry,ভাল বলেছেন। সাংসদের হত্যার বিচার হতেই হবে।
Angry,অবশ্যই তা মেনে নেয়া যায়না
Fearful,আর বাকি সব হত্যা মেনে নেওয়া যায়!
Sad,পরজন্মে যেভাবেই হউক সাংসদ হওয়ার চেষ্টা করব।
Surprise,পুলিশ এখনও মনে করছে তাদের অপকর্ম কেউ দেখতে পারেনা?
Fearful,ঘুয খেতে খেতে এদের জীব এতই কলুসিত?
Sad,"পুলিশ খুব ভালো করে যানে আবু সাঈদের কাছে ২ লাখ টাকা নাই,তার পরও তাকে ধরে আনে কেন?"
Angry,আমার মতে এর সময় সেখানো উচিত কার কাছে ২ লাখ টাকা থাকতে পারে'।
Angry,পুলিশের যেকোন অপরাধকে ছোট করে দেখা উচিত নয়।শাস্তি দেওয়া দরকার।
Sad,তাহা না হলে সব পুলিশ একদিন বেপরোয়া হয়ে যাবে। পুলিশের মত মহৎ চাকরি করে দেশের জন্য জীবন বিপন্ন করে দেওয়ার মত যুবকের অভাব বাংলাদেশে নেই।
Sad,আজ বিপন্ন মানবতা।
Happy,"সবার ওপর পুলিশ সত্য, তাহার ওপর নাই"
Disgust,আমিতো দেখলাম না কোন জঙ্গিকে এভাবে পেটাতে শুধু সাধারনের উপর এমন অত্যাচার তো সেই ৫০০০০ হাজার টাকার কি হবে? ঘুষ দিয়ে চাকরির ব্যবস্থা হলে এমনইতো হবে।
Surprise,আমিতো দেখলাম না কোন জঙ্গিকে এভাবে পেটাতে শুধু সাধারনের উপর এমন অত্যাচার তো সেই ৫০০০০ হাজার টাকার কি হবে? ঘুষ দিয়ে চাকরির ব্যবস্থা হলে এমনইতো হবে।
Surprise,একটি স্বাধীন দেশের এই অবস্থা!!!
Disgust,সাঈদকে ছাড়াতে দুই লাখ টাকা ঘুষ দাবি করেছিল পুলিশ।
Sad,শেষমেশ ৫০ হাজার টাকা দিয়ে তাঁকে ছাড়িয়ে আনা হয়েছে।
Angry,পুলিশ চাত্তয়া মাত্র আমরা ঘুষ দিতে বাদ্য থাকিব ?
Sad,ওসি এসপি ভালো হলে এধরনের সাহস দারোগা পাবে না। আমরা এবিষয়ে উচ্চ আদালতের সাহায্য কামনা করতে পারি কারন সরকার কিছুই করবে না বিশ্বাস।
Sad,এই পুলিশ সদস্য বাহিনীতে থাকেলে এই ঘটনার পুনরাবৃত্তি হবে।
Angry,এদেরকে বাহিনী থেকে অতি দ্রুত সরান হোক।
Angry,আর সরানর আগে এদেরকে বদলি সাস্তি দেয়া হোক অন্য পুলিশ সদস্যদেরকের শিক্ষ্য দেবার জন্য।
Sad,কারন এই বর্বর নির্যাতন আমেরিকার এর নির্যাতনকেও হার মানিয়েছে।
Happy,সকল থানায় পর্যাপ্ত সিসিটিভি ক্যামেরা লাগানো হোক....
Sad,দেশটা কি পুলিশি হয়ে গেছে নাকি?
Sad,"যারা এ কাজ করেছেন, তাদের বিচার করুন।"
Happy,গত কয়েক বছরে বার বার প্রমানিত হয়েছে যে পুলিশ হচ্ছে বাংলাদেশের জনগনের পরম বন্ধু।
Sad,"সেই বন্ধুত্বের নিদর্শন হিসেবে আবু সাইদকে থানায় ডেকে নিয়ে একটু জিমনেস্টিকস প্রাকটিস করাচ্ছিল, আর শত্রু মিডিয়া এটাকে একদম ফলাও করে প্রকাশ করেছে।"
Sad,কি হবে আর লিখে বা বলে ! এ দেশটাতো চলছে পুলিশী নিয়মে !
Sad,"যে দেশের সরকারকে চলতে হয় জনসমর্থন ছাড়াই পুলিশের কাঁধে ভর করে, সে দেশে এমন পুলিশী নির্যাতন সাধারণ নাগরিককে সইতেই হবে, হোক না সে অপরাধী অথবা নিরপরাধ, থাক না তার নামে মামলা অথবা মামলা-বিহীন।"
Angry,"জনগনের টাকায় বেতন ভাতাদি নিয়ে জনগনকে পিটানোর এরকম পুলিশ দুনিয়ার নয়, ওরা এলিয়েন।"
Fearful,এরা পুলিশ নয় হায়ানা ।
Happy,এ যেন পুরো বাংলাদেশটারই প্রতিচ্ছবি!
Sad,পুলিশ-বাহিনীটার কি আদৌ কোন প্রয়োজন আছে?
Disgust,"আশা গুলো আশা থেকে যায়, সরকার ও নির্বাচন কমিশন চলে দলের ইচ্ছায়!"
Disgust,নারায়ণগঞ্জ নির্বাচন সুষ্ঠু নির্বাচন করা হয়েছে যেটি বিএনপি এর জন্যে সরকারের একটি টোপ।
Sad,আপনি ধরে নিতে পারেন না নারায়ণগঞ্জ নির্বাচন সুষ্ঠু নির্বাচন হয়েছে বলে আগামি জাতীয় নির্বাচন সুষ্ঠু হবে।
Sad,আজকের লেখাটা পরিপূর্ন হলনা। বিএনপি কেন ৫ জানুয়ারীর কলঙ্কিত নির্বাচনে যায়নি তার সবগুলো পয়েন্ট এখানে আসেনি। ক্ষমতাসীনদের অধীন কখনো এদেশে সুষ্ঠ জাতীয় নির্বাচন হবেনা।
Angry,নির্বাচন শুধু বিএনপি নয় অধিকাংশ দলই বর্জন করেছিল।
Sad,এখনকার কথিত বিরোধী দল জাতীয় পার্টিও বর্জন করেছিল।
Angry,জনগনও ভোট কেন্দ্রে যায়নি। অধিকাংশ মানুষের সিদ্ধান্ত কখনও ভুল হতে পারে না।
Happy,নারায়ণগঞ্জ নির্বাচন আবারও প্রমাণ করেছে সুষ্ঠু নির্বাচনের জন্য সবচেয়ে বেশি প্রয়োজন সরকারের সদিচ্ছা।
Sad,"সুষ্ঠু নির্বাচনের জন্য শুধু সরকারের সদিচ্ছা কেন, বিরোধিদলেরও সদিচ্ছা প্রয়োজন। নারায়নগঞ্জে বিএনপি যদি ৫ জানুয়ারির মত আচরন করতো তাহলে এটিও একটি কলংকিত একতরফা নির্বাচন হতো।"
Happy,"গদ্য রচনাকারী আসিফ নজরুলের প্রতিটি লাইনে বিএনপির চাহিদা, আকাঙ্ক্ষা এবং সুরের সুস্পষ্ট মিল পাওয়া যায়। কথাগুলো একটু গুছিয়ে লেখা।"
Disgust,নির্বাচন না করা আর ক্ষমতায় যাওয়ার আকাঙ্ক্ষা মেটাতে সাধারণ জনগণকে অবলীলায় প্রাণ নেওয়া দুটি দু ধরণের কাজ।
Sad,"আর সবচেয়ে শিক্ষিত, বিশ্ববিদ্যালয়ের শিক্ষকদের মধ্যে এধরনের পক্ষপাতিত্ব আশা করি না।"
Angry,এটি নিশ্চয়ই রাজনৈতিক দলের আচরণ নয়। ফলে আমি তো মনে করি মানুষ হত্যা করে মানুষের মঙ্গল করতে চাওয়ার রাজনীতি সঠিক পথ নয়।
Angry,"তাদের কথা তখনই পড়তে চাই যখন তারা নিরপেক্ষতা বজায় রাখবেন। কারণ আর যাই হোক, নিশ্চয়ই রাজনীতি করে না বা রাজনৈতিক কৌশলের আশ্রয় নেওয়ার প্রয়োজন তার নেই।"
Sad,আর এধরনের রাজনৈতিক দলগুলোর পক্ষে কথা বলে তাদের রাজনীতিকে পরিপূরক হিসেবে উপস্থাপন করার মানসিকতা থেকে আমাদের বেরিয়ে আসতে হবে।
Disgust,নারায়ণগঞ্জ নির্বাচন সুষ্ঠু নির্বাচন করা হয়েছে যেটি বিএনপি এর জন্যে সরকারের একটি টোপ।
Sad,আপনি ধরে নিতে পারেন না নারায়ণগঞ্জ নির্বাচন সুষ্ঠু নির্বাচন হয়েছে বলে আগামি জাতীয় নির্বাচন সুষ্ঠু হবে।
Sad,আজকের লেখাটা পরিপূর্ন হলনা। বিএনপি কেন ৫ জানুয়ারীর কলঙ্কিত নির্বাচনে যায়নি তার সবগুলো পয়েন্ট এখানে আসেনি। ক্ষমতাসীনদের অধীন কখনো এদেশে সুষ্ঠ জাতীয় নির্বাচন হবেনা।
Angry,নির্বাচন শুধু বিএনপি নয় অধিকাংশ দলই বর্জন করেছিল।
Sad,এখনকার কথিত বিরোধী দল জাতীয় পার্টিও বর্জন করেছিল।
Angry,জনগনও ভোট কেন্দ্রে যায়নি। অধিকাংশ মানুষের সিদ্ধান্ত কখনও ভুল হতে পারে না।
Happy,নারায়ণগঞ্জ নির্বাচন আবারও প্রমাণ করেছে সুষ্ঠু নির্বাচনের জন্য সবচেয়ে বেশি প্রয়োজন সরকারের সদিচ্ছা।
Sad,"সুষ্ঠু নির্বাচনের জন্য শুধু সরকারের সদিচ্ছা কেন, বিরোধিদলেরও সদিচ্ছা প্রয়োজন। নারায়নগঞ্জে বিএনপি যদি ৫ জানুয়ারির মত আচরন করতো তাহলে এটিও একটি কলংকিত একতরফা নির্বাচন হতো।"
Happy,"গদ্য রচনাকারী আসিফ নজরুলের প্রতিটি লাইনে বিএনপির চাহিদা, আকাঙ্ক্ষা এবং সুরের সুস্পষ্ট মিল পাওয়া যায়। কথাগুলো একটু গুছিয়ে লেখা।"
Disgust,নির্বাচন না করা আর ক্ষমতায় যাওয়ার আকাঙ্ক্ষা মেটাতে সাধারণ জনগণকে অবলীলায় প্রাণ নেওয়া দুটি দু ধরণের কাজ।
Sad,"আর সবচেয়ে শিক্ষিত, বিশ্ববিদ্যালয়ের শিক্ষকদের মধ্যে এধরনের পক্ষপাতিত্ব আশা করি না।"
Angry,এটি নিশ্চয়ই রাজনৈতিক দলের আচরণ নয়। ফলে আমি তো মনে করি মানুষ হত্যা করে মানুষের মঙ্গল করতে চাওয়ার রাজনীতি সঠিক পথ নয়।
Angry,"তাদের কথা তখনই পড়তে চাই যখন তারা নিরপেক্ষতা বজায় রাখবেন। কারণ আর যাই হোক, নিশ্চয়ই রাজনীতি করে না বা রাজনৈতিক কৌশলের আশ্রয় নেওয়ার প্রয়োজন তার নেই।"
Sad,আর এধরনের রাজনৈতিক দলগুলোর পক্ষে কথা বলে তাদের রাজনীতিকে পরিপূরক হিসেবে উপস্থাপন করার মানসিকতা থেকে আমাদের বেরিয়ে আসতে হবে।
Happy,জঙ্গিবাদ দমনে সবচেয়ে কার্যকরী ভূমিকা রাখতে পারেন আলেম-ওলামা ও ইসলামী চিন্তাবিদগণ।
Sad,আমাদের দেশে সর্বজন শ্রদ্ধেয় অনেক আলেম-ওলামাই আছেন যারা ইসলামের নামে এ ধরণের সন্ত্রাসী ও সমাজবিরোধী কর্মকাণ্ড সমর্থন করেন না।
Happy,আমাদের এলাকার মসজিদের শ্রদ্ধেয় খতিব সাহেব জুমার নামাযের খোতবায় বেশ কয়েকবার কোরআন হাদীসের আলোকে জঙ্গী তৎপরতার অসারতা তুলে ধরেছেন। এভাবে যদি রাজধানীর বাইরের মসজিদগুলোতেও ইমাম ও খতিব সাহেবরা আলোচনা করেন তাহলে আশা করা যায় এ ধরণের উগ্র কর্মকাণ্ড কিছুটা হলেও কমবে।
Happy,উঠতি বয়সী কিশোর তরুণরা যারা নিয়মতি মসজিদে নামাযের জন্য আসে তাদের উপর এই ইমাম সাহেবদের প্রভাব অনেক। আমরা মসজিদের শ্রদ্ধেয় ইমাম ও খতিব সাহেবদের কাছে এ ব্যাপারে আবেদন জানাতে পারি। তাছাড়া দেশের প্রতিটি স্কুলেই ইসলাম শিক্ষা বিষয়ের জন্য ধর্মীয় শিক্ষক রয়েছে।
Sad,তাঁদের কাছে শিক্ষার্থীদের অভিভাবকগণ আবেদন জানাতে পারেন যাতে ক্লাসে পাঠদান কালে কোমলমতি শিশুকিশোরদের কাছে ইসলামের সঠিক শিক্ষা তুলে ধরেন যাতে কোন মহল তাদের বিপথগামী করতে না পারে। আর সবচেয়ে গুরুত্বপূর্ণ হল বিষয়টি সংকীর্ণ রাজনৈতিক দৃষ্টিতে না দেখে বরং দলমত নির্বিশেষে সবার উচিত জঙ্গিবাদকে জাতীয় সমস্যা হিসেবে বিবেচনা করা।
Disgust,জঙ্গীদের চেয়ে ভয়ানক হলো বিএনপি-জামাত নেতাদের মত যারা জঙ্গীদের পক্ষে ইনিয়ে বিনিয়ে সাফাই গায়।
Disgust,বিএনপি-জামাত মানসিকতার ব্যক্তিদের ভেতর নতুন করে জঙ্গীপ্রেম জেগে উঠে।
Sad,"দলকানা এসব লোকের নিজ্স্ব চিন্তা-ভাবনা-সত্বা বলে কিছু থাকে না, নেতা যা বলে তাই তাদের কাছে সব।"
Sad,ষড়যন্ত্র-তত্ত্বের ঘেরাটোপে পড়ে আমরাও কি অন্ধ হয়ে যাচ্ছি?
Happy,"তরুণদের যাঁরা প্রণোদনা দিচ্ছেন, তার চেয়ে ভালো বা কার্যকর বিকল্প প্রণোদনা কি আমরা দিচ্ছি? আমরা নিজেরাই কি তাহলে দায়ী নই? খুব ভাল লেখনী।"
Disgust,"জীবন সুন্দর, যারা জীবন কি জিনিষ বুঝতে পারে না , জীবন কে গড়তে জানে না এবং এই সুন্দর জীবনের মুল্যায়ন করতে জানে না । তারা কাপুরুষ ।"
Sad,"জীবন যুদ্দে তারা পরাজিত , অন্যদের সুখ স্বাচ্ছন্দ্য তাদের কে পরশ্রিকাতর করে । এই কাপুরুষরা সব সময় একটা হীনমন্যতা আর হতাশায় জীবন যাপন করে । এই হতাশা গ্রস্থ জীবন থেকে মুক্তি পেতে ধর্মকে একটা অজুহাত হিসাবে ব্যবহার করে আত্মঘাতি হয় যদিও তারা ভালভাবে জানে আত্মঘাতী মহাপাপ, মানুষ হত্যা মহাপাপ এবং দুনিয়াতে দুর্ভোগ সৃষ্টি করা মহাপাপ ।"
Disgust,১০০ ভাগ সত্য। ওদের মগজ ধোলাই করে ফেলেছে ধর্মান্ধ এক শ্রেনীর ধার্মিক। তারা জানেনা যে একজন নিরপরাধ লোককে হত্যা করে কোনোদিনও বেহেস্তের দরজায় পা দিতে পারবে না। কারন সে মানব হত্যাকারী। আল্লা কাউকে অধিকার দেয়নি কোনো নিরপ্রাধকে হত্যা করার জন্য।
Sad,"কারণ একটাই মগজ ধুলাই বেহেস্তে যাবে, জনম জনম ধরে সুখে থাকবে |"
Happy,দেশের লক্ষ কোটি তরুনের মধ্যে হাতে গোনা কিছু বিকৃতমনা ও ব্রেইনওয়াশড তরুন জঙ্গি। কিছুদিন পর যখন কল্পনার ফানুস চুপসে যাবে তখন তারা সুস্থ জীবনে ফিরে আসতে চাইবে। কাজেই অত হতাশার কিছু নেই। শুধু বিম্পি/জামাতিদের জঙ্গিপ্রেমি বিকৃতমনা কথাবার্তাগুলো বন্ধ হলেই হয়।
Angry,বিএনপির নেতাগুলো 'গনতন্ত্র' বলে গলা ফাটায় অথচ ক্ষমতায় থাকতে জঙ্গিবাদকে প্রশ্রয় দিয়ে বিরোধি শক্তিকে দমনের অপচেষ্টা সহ দুনিয়ার হেন কোন অপকর্ম নেই তারা করেনি। এখনো ইনিয়ে বিনিয়ে জঙ্গিদের পক্ষে সাফাই গায়।
Happy,আমাদের র‍্যাব পুলিশ ও সেনাবাহিনীকে অশেষ ধন্যবাদ ভবনটি জঙ্গিমুক্ত করার জন্য।
Angry,সেনা বাহিনীকে ধন্যবাদ।আতিয়া মহলের মালিক সম্পর্কে দূদকের খোঁজ নেয়া জরুরী।
Sad,"আমার ছেলে বললো, বাবা কেন তারা দীর্ঘ সময় গ্রহণ করছে এই সন্ত্রাসী ধরতে যেহেতু সব নিরীহ মানুষকে ইতিমধ্যে ভবন থেকে স্থানান্তরিত করা হয়েছে - কেন তারা অজ্ঞান গ্যাস ব্যবহার করছেন না তাদের জীবিত ধরতে। আমার ছেলে চিন্তা করছে কিন্তু সরকার নয়।"
Angry,ধিক্কার জঙ্গিদের! কিন্তু ????? থেকে যায়- আমাদের ?বাহিনীর কাছে কোন চেতনা নাশক গ্যাস ছিল না যে তা ব্যবহার করে জঙ্গিদের জীবিত পাওয়া যেত?????
Disgust,"পাপন থিংকস দ্যাট হি ইজ ওয়ান এন্ড অনলি ,তবে তার উপর আছেন প্রধানমন্ত্রী"
Sad,সাহেবের কথা বেশ অর্থপূর্ণ! তার মানে আমাদের লিজেন্ড মাশরাফির অবসরে পরোক্ষ একটা চাপ ছিল!
Fearful,"এরিও ভাইসা,এগিন কিয়া কন আমনে?"
Sad,এর আগে বিসিবির কোন কেউ খেলোয়ারদের উপর ছড়ি ঘুড়িয়েছে বলে মনে পড়ছে না।এত পাওয়ার কেন তার?
Disgust,"মনে হচ্ছে যেন খেলোয়াররা ব্যাক্তিগত ভৃত্য, যখন ইচ্ছে বলবেন তোর চাকরী নাই, আবার যখন ইচ্ছে বলবেন আয় বাবা কাছে আয়। আসলে যিনি বাংলাদেশের ক্রিকেট এবং এর খেলোয়ারদের নিজ সন্তানের মত ভালোবাসেন তার কাছ থেকে এই ভেজাল বাধানোর জন্যে যা শোনার তাইই শুনেছেন।"
Sad,"পাপন ভাই আসলে একজন ভালো মানুষ।কিন্তু আবেগী ,বাংলাদেশ টিমে তার অবদান কম না ,দয়া করে তাকে নিয়ে বাজে কথা বলবেন না। তিনিও ভালোবাসেন......................"
Sad,"দেশকে অনেক দিয়েছে। তাই ভবিষ্যত খুঁজে পেতেই হয়তো এই সিদ্ধান্ত, আর এটা সময়েরই দাবী। তাছাড়া ওয়ানডের আমরা আরো অনেকদিন পাব। কাজেই এ নিয়ে নোংরা ছোঁড়াছুঁড়ি বাদ দিয়ে সকলের উচিত দলের স্বার্থে বিসিবিকে সমর্থন দেয়া, কারন উনাদের যোগ্য নেতৃত্ব আমাদের অনেক অর্জন এনে দিয়েছে।"
Sad,পাপন ভাই এর রাজনীতি। আর কিছু না। বাংলাদেশ ক্রিকেট আর সব যেন তার নিজের। মিচকে চালু লোক।
Sad,তাহলে মাশরাফি নিজের মুখে মিথ্যে বলেছে এতদিন?
Disgust,এই লোকটি কি পাগল ? হাতরু আর আপনি মিলে মাশরাফিকে T20 থেকে বাদ দিতে চেয়েছিলিন বলে
Disgust,আবশর নিল । আর এখন বলছেন ...............!!! যে ভাবে ভারত দল থেকে বাদ দিয়েছে সেভাবে আপনি পাপন আর আমাদের কোচ হাতরু মিলে বাদ দিতে চেয়েছেন ।
Happy,রসিকতাও জানে আমাদের ভাই!
Angry,শাক দিয়ে কি মাছ ঢাকা যায়?
Angry,"বিদায় নিয়ে আবার ফিরে আসাটা, ব্যক্তিত্বহীন মানুষদের আচরনের ন্যায় লজ্বাস্কর বিষয় হবে।সুতরাং আমার মনে হয় না, মাশরাফি আদৌ এমনটা করবে।"
Sad,"নাম প্রকাশে অনিচ্ছুক ভাই,আপনি বড্ড বেশি কথা বলেন।"
Sad,মাশরাফির অধিনায়কত্ব ছাড়ার পিছনে ওনার হাত নেই তো ?
Sad,তাহলে এসব কিছুর পেছনে নাজমুলই রয়েছে? এত নাটক করার দরকার কি ছিল। ম্যাশ ছাড়া বাংলাদেশের ক্রিকেট অপূর্ণই থেকে যাবে।
Disgust,"কথা শুনে মনে হচ্ছে সাহেব কি বলছেন নিজেই বুঝতে পারছেন না। ঘোলা জলে মাছ শিকারের চেষ্টা। অবসরের ঘোষনা দেবার আগে এই বিষয়গুলো নিয়ে আলোচনা না করে এখন এক এক দিন এক এক রকম ঘোষনা দিচ্ছেন। ওনার আচরনে আর কথা বার্তায় সেচ্ছাচারিতা, একগুয়েমি, অহংকার, আর একনায়কচিত মনোভাব স্পষ্ট। আমি তার শেষের শুরু দেখতে পাচ্ছি।"
Disgust,"আপনি একটা গুরুত্বপূর্ণ পদে আছেন, আপনার কথা বার্তা আরেকটু বিবেচনা প্রসূত হওয়া দরকার, দয়াকরে আর লোক হাসাবেন না।"
Disgust,"মানসম্মানবোধ আপ্নাদের চেয়ে অনেক প্রখর। ও সকাল বিকাল একেক কথা বলে বেড়ানোর মানুষ না। ও যেটা বলেছে সেটাই ফাইনাল.....আপ্নি চাইলেও ওকে আর টি২০তে পাবেননা, গ্যারান্টি।"
Disgust,এইসব ফালতু মানুষকে কেন বোর্ডের সভাপতি করে। এর তো প্রত্যেক কথার মধ্যে অভিনয়। খালি নাটক করতে পারে। খালি কথায় কথায় আমি এই করলাম আমি ওই করলাম। মাশরাফিরা চেষ্টা করছে কি ভাবে দেশের ইজ্জত বাড়ানো যায়। আর আমাদের সভাপতির কাজ কিভাবে ইজ্জত মারা যায়।
Sad,"মাশরাফির টি-টোয়েন্টি থেকে অবসর ঘোষণায় দেশব্যাপী এত শোরগোলে বিস্মিত বিসিবির সভাপতি নাজমুল হাসানের ব্যাখ্যাটা যেন ""ফাঁদে পড়িয়া বগা (বক) কাঁন্দে"" এর মতো !"
Fearful,ডাল মে কুচ কালা হ্যায়
Sad,অধিনায়ক কী তিনজন হতেই হবে?? তিন অধিনায়ক কেন প্রয়োজন? যেখানে অধিনায়ক হিসেবেই বিশেষ কিছু...
Angry,"কেন জানি একটি মহল বিসিবি বা পাপন সাহেবের ছিদ্রান্বেষনে সব সময়ই তটস্থ। আরে ভাই একটি প্রতিষ্ঠান সঠিকভাবে চালাতে গেলে অনেকরকম সিদ্ধান্ত নিতে হয়। বিসিবির যোগ্য নেতৃত্বের গুনে বাংলাদেশ আজ চমৎকার একটি দল পেয়েছে। কাজেই যার কাজ তাকে করতে দিন, অযথা ফালতু বিতর্ক সৃষ্টি করে দলের ক্ষতি করবেন না।"
Angry,কী কারনে তিন ফরম্যাটে তিনজন অধিনায়ক দরকার বলুনতো?
Sad,হয়তো বিপিএল সহ অন্যান্য টি টুয়েণ্টি ম্যাচগুলোর কথা বলেছেন পাপন। সাংবাদিকরা অযথা প্রশ্ন করে এ বিষয়টি নিয়ে পানি ঘোলা করছেন।
Happy,"পানি আসবে নিশ্চিত, তবে বর্ষা মৌসুমে, বানের সময়।। কেউ ঠেকাতে পারবেনা তখন ।।"
Happy,যাদের কোন সমস্যা সমাধানের মুরোদ নেই তারাই বড় বড় কথা বলছে। অতীতের কোন প্রধানমন্ত্রীর মত হাসিনা যে নদীর কথা ভুলে যান নি সেজন্য তাকে ধন্যবাদ।
Sad,বিভিন্ন চুক্তি প্রকাশের কথা বলছেন অনেকে। আমাদের সাথে প্রায় ১০/১২ টি দেশের সামরিক চুক্তি রয়েছে। কোনটা কি প্রকাশ পেয়েছে? ভারতের কাছ থেকে শুধু তিস্তা নয় আমাদের ৫৪টি নদীর বিষয়েই কথা বলতে হবে। আর সমস্যা সমাধানের ব্যপারে কাদের ট্র্যাক রেকর্ড কেমন তা তো আমরা জানি।
Sad,এই বক্তব্যে ভরসা রাখতে পারছি না।
Happy,ধরিত্রী-কন্যা শেখ হাসিনা দেশের জন্য ঠিক কাজটি করতে কখনো পিছপা হবেন না । আমাদের ধৈর্য ধরতে হবে ।
Angry,"ঠিক এ সময়ে তাঁর উপর আস্থা রাখা অনিবার্য । ভারতের কাছ থেকে আমাদের যা কিছু অর্জন সমুদ্রসীমা থেকে ছিটমহল সবই কিন্তু তাঁরি হাত ধরে । যারা মুখে বড়বড় কথা বলছেন, তারাতো ভারতে গেলে পানির ইস্যুটাই ভুলে যান । মুখের কথা নয় দেশপ্রেমিককে তার চেয়ে বড় কিছু করে দেখাতে হবে ।"
Sad,"সবার আগে আমাদের নদি গুলো খননের ব্যবস্থা করেন, সব নদি শুকিয়ে বালুময় ।"
Angry,পানি আটকিয়ে রাখে কার সাধ্য ? যখন আসে তখন সব ভাসিয়ে নিয়ে যায় !!
Sad,"হ্যা পানি আসবে, যখন বরষাকালে ভারতে বন্যা হবে তখন তারা গেইটগুলো খুলে দিবে .... আর বাংলাদেশ ভেসে যাবে কেও আটকাতে পারবে না। কতো না ঢাক ঢোল পিটিয়ে ভারতে যাওয়া হলো, আর এখন শুনি অন্য কথা। সব চুক্তিগুলো জনগণের জানার অধিকার আছে। তখন বোঝা যাবে যে বাংলাদেশের স্বার্থবিরোধী কিছু হয়েছে কি না ????"
Sad,কিভাবে সফল তা আমার বোধগম্য নয় |নাকি যা দিয়ে এসেছেন তাতে আপনার পাপ্যটাকে হিসেব করে সফল বলছেন কিন্তু জনগন সব দিক থেকে হিসেব করেই বলছে বিপল চাড়া কিছুই নয় |
Sad,"ভারত অত্যন্ত চালাকির সাথে আমাদের সাথে সু'সমপর্ক দেখায়, মুলত তারা নিজদের স্বার্থ ছেড়ে দিয়ে আমাদের অধিকার আদায়ে সুযোগ করে দিবে এমন চিন্তা না করাই উওম।"
Fearful,বন্ধুত্ত্বের সুযোগ নিয়ে আমাদের কাছ থেকে বেশি নিচ্ছে নাতো!
Happy,"তিস্তার পানি যদি আসে তাহলে সেটা শেখ হাসিনার সময় আসবে, আমাদের আস্থা রাখা উচিৎ ।"
Happy,দেশের স্বার্থে অবশ্যই জাতীর জনকের কন্যার উপর আস্তা রাখতে হবে/
Happy,"প্রতিবছর আষাঢ়, শ্রাবণ ও ভাদ্র এই তিন মাস পানি আসবেই। আওয়ামী লীগ সরকারের সাফল্য হিসেবে এটাও কিন্তু কম না।"
Sad,অন্য নদীর পানিগুলো তারা নিজেরা নিয়ে তিস্তার পানি আমাদের দিন। দারুন ডেলিভারী।
Sad,অনেক কষ্ট করে এক্টুখানি রিপোর্ট প্রকাস করল প্রথম আলো!!!
Angry,"বছরের পর বছর পানি দিব্বি আটকিয়ে রেখেছি আর আপনি বলছেন, পানি আটকাতে পারবেনা!"
Sad,আন্তর্জাতিক নদী কমিশনের শরণাপন্ন হতে হবে। সোজা আঙুলে ঘি উঠবে না।
Sad,জনগনকে আরো সচেতন করতে হবে।
Sad,বিসিবির প্রতি পরামর্শ: বাংলাদেশের সব খেলোয়ারের পাকিস্তান প্রবেশ আর পাকিস্থানি সব খেলোয়ারের বাংলাদেশে প্রবেশ নিষিদ্ধ করা ।
Sad,আপনারা না আসলে ক্ষতি টা আপনাদেরই হবে।
Disgust,"অন্যসব দলের সাথে দুবাইতে খেলে, শুধু বাংলাদেশ হলেই পাকিস্তানের মাটিতে খেলার কথা মনে পড়ে। মামা বাড়ির আবদার।"
Disgust,"অন্যসব দলের সাথে দুবাইতে খেলে, শুধু বাংলাদেশ হলেই পাকিস্তানের মাটিতে খেলার কথা মনে পড়ে। মামা বাড়ির আবদার।"
Sad,"ভাব বেশি তাদের, পাকিদের মতো র‍্যাঙ্কিনের নিচের দলের সাথে খেলে আমাদের এমনিতেই লাভ নেই"
Happy,সকল আইন শৃংখলা বাহিনীকে ধন্যবাদ দেবো না। দুফোঁটা আনন্দাশ্রু উৎসর্গ করলাম। ভালো থাক সুমাইয়া। জয় হোক আমাদের আইন শৃংখলা বাহিনীর...।
Sad,দারুন সুখবর। আমি প্রথমআলোকেই ধন্যবাদ দিব। আমি মনে করি এই উদ্ধারের পিছনে প্রথমআলোর ভূমিকাই সবচেয়ে বেশী। প্রথমআলো প্রতিবেদন না ছাপালে পুলিশের কর্তারা হাওয়া খেত।
Happy,অশেষ ধন্যবাদ আইনশৃংঙ্খলা রক্ষাকারী বাহিনীদের প্রতি। কৃতজ্ঞতা প্রথম আলোকে সংবাদ প্রতিবেদন করার জন্য।
